Province_x,Month-Year,Unemployment Rate,Minimum Wage
Canada,Jan-1976,7.1,$2.60
Canada,Feb-1976,7.0,$2.60
Canada,Mar-1976,6.7,$2.60
Canada,Apr-1976,6.8,$2.90
Canada,May-1976,6.9,$2.90
Canada,Jun-1976,6.9,$2.90
Canada,Jul-1976,7.4,$2.90
Canada,Aug-1976,7.1,$2.90
Canada,Sep-1976,7.0,$2.90
Canada,Oct-1976,7.4,$2.90
Canada,Nov-1976,7.4,$2.90
Canada,Dec-1976,7.5,$2.90
Canada,Jan-1977,7.6,$2.90
Canada,Feb-1977,7.9,$2.90
Canada,Mar-1977,7.8,$2.90
Canada,Apr-1977,7.9,$2.90
Canada,May-1977,7.8,$2.90
Canada,Jun-1977,7.8,$2.90
Canada,Jul-1977,8.1,$2.90
Canada,Aug-1977,8.2,$2.90
Canada,Sep-1977,8.3,$2.90
Canada,Oct-1977,8.4,$2.90
Canada,Nov-1977,8.5,$2.90
Canada,Dec-1977,8.5,$2.90
Canada,Jan-1978,8.3,$2.90
Canada,Feb-1978,8.3,$2.90
Canada,Mar-1978,8.5,$2.90
Canada,Apr-1978,8.4,$2.90
Canada,May-1978,8.6,$2.90
Canada,Jun-1978,8.4,$2.90
Canada,Jul-1978,8.3,$2.90
Canada,Aug-1978,8.4,$2.90
Canada,Sep-1978,8.4,$2.90
Canada,Oct-1978,8.2,$2.90
Canada,Nov-1978,8.3,$2.90
Canada,Dec-1978,8.3,$2.90
Canada,Jan-1979,8.2,$2.90
Canada,Feb-1979,8.0,$2.90
Canada,Mar-1979,7.9,$2.90
Canada,Apr-1979,8.0,$2.90
Canada,May-1979,7.6,$2.90
Canada,Jun-1979,7.4,$2.90
Canada,Jul-1979,7.2,$2.90
Canada,Aug-1979,7.1,$2.90
Canada,Sep-1979,7.0,$2.90
Canada,Oct-1979,7.2,$2.90
Canada,Nov-1979,7.2,$2.90
Canada,Dec-1979,7.2,$2.90
Canada,Jan-1980,7.5,$2.90
Canada,Feb-1980,7.6,$2.90
Canada,Mar-1980,7.6,$2.90
Canada,Apr-1980,7.7,$2.90
Canada,May-1980,7.8,$2.90
Canada,Jun-1980,7.7,$2.90
Canada,Jul-1980,7.6,$2.90
Canada,Aug-1980,7.6,$2.90
Canada,Sep-1980,7.3,$2.90
Canada,Oct-1980,7.3,$2.90
Canada,Nov-1980,7.2,$2.90
Canada,Dec-1980,7.3,$3.25
Canada,Jan-1981,7.4,$3.25
Canada,Feb-1981,7.4,$3.25
Canada,Mar-1981,7.4,$3.25
Canada,Apr-1981,7.1,$3.25
Canada,May-1981,7.2,$3.50
Canada,Jun-1981,7.2,$3.50
Canada,Jul-1981,7.2,$3.50
Canada,Aug-1981,7.1,$3.50
Canada,Sep-1981,8.1,$3.50
Canada,Oct-1981,8.3,$3.50
Canada,Nov-1981,8.3,$3.50
Canada,Dec-1981,8.7,$3.50
Canada,Jan-1982,8.6,$3.50
Canada,Feb-1982,8.9,$3.50
Canada,Mar-1982,9.3,$3.50
Canada,Apr-1982,9.8,$3.50
Canada,May-1982,10.3,$3.50
Canada,Jun-1982,11.1,$3.50
Canada,Jul-1982,11.9,$3.50
Canada,Aug-1982,12.0,$3.50
Canada,Sep-1982,12.4,$3.50
Canada,Oct-1982,12.9,$3.50
Canada,Nov-1982,12.9,$3.50
Canada,Dec-1982,13.1,$3.50
Canada,Jan-1983,12.7,$3.50
Canada,Feb-1983,12.7,$3.50
Canada,Mar-1983,12.5,$3.50
Canada,Apr-1983,12.4,$3.50
Canada,May-1983,12.4,$3.50
Canada,Jun-1983,12.4,$3.50
Canada,Jul-1983,11.9,$3.50
Canada,Aug-1983,11.7,$3.50
Canada,Sep-1983,11.4,$3.50
Canada,Oct-1983,11.3,$3.50
Canada,Nov-1983,11.3,$3.50
Canada,Dec-1983,11.3,$3.50
Canada,Jan-1984,11.3,$3.50
Canada,Feb-1984,11.3,$3.50
Canada,Mar-1984,11.3,$3.50
Canada,Apr-1984,11.5,$3.50
Canada,May-1984,11.7,$3.50
Canada,Jun-1984,11.3,$3.50
Canada,Jul-1984,11.2,$3.50
Canada,Aug-1984,11.3,$3.50
Canada,Sep-1984,11.8,$3.50
Canada,Oct-1984,11.3,$3.50
Canada,Nov-1984,11.4,$3.50
Canada,Dec-1984,11.1,$3.50
Canada,Jan-1985,10.6,$3.50
Canada,Feb-1985,10.8,$3.50
Canada,Mar-1985,11.0,$3.50
Canada,Apr-1985,10.8,$3.50
Canada,May-1985,10.6,$3.50
Canada,Jun-1985,10.7,$3.50
Canada,Jul-1985,10.4,$3.50
Canada,Aug-1985,10.3,$3.50
Canada,Sep-1985,10.2,$3.50
Canada,Oct-1985,10.3,$3.50
Canada,Nov-1985,10.3,$3.50
Canada,Dec-1985,10.1,$3.50
Canada,Jan-1986,9.8,$3.50
Canada,Feb-1986,9.9,$3.50
Canada,Mar-1986,9.8,$3.50
Canada,Apr-1986,9.7,$3.50
Canada,May-1986,9.5,$3.50
Canada,Jun-1986,9.6,$4.00
Canada,Jul-1986,9.6,$4.00
Canada,Aug-1986,9.6,$4.00
Canada,Sep-1986,9.5,$4.00
Canada,Oct-1986,9.4,$4.00
Canada,Nov-1986,9.4,$4.00
Canada,Dec-1986,9.5,$4.00
Canada,Jan-1987,9.5,$4.00
Canada,Feb-1987,9.5,$4.00
Canada,Mar-1987,9.4,$4.00
Canada,Apr-1987,9.2,$4.00
Canada,May-1987,8.9,$4.00
Canada,Jun-1987,8.9,$4.00
Canada,Jul-1987,8.7,$4.00
Canada,Aug-1987,8.6,$4.00
Canada,Sep-1987,8.4,$4.00
Canada,Oct-1987,8.3,$4.00
Canada,Nov-1987,8.2,$4.00
Canada,Dec-1987,8.0,$4.00
Canada,Jan-1988,8.1,$4.00
Canada,Feb-1988,7.8,$4.00
Canada,Mar-1988,7.8,$4.00
Canada,Apr-1988,7.7,$4.00
Canada,May-1988,7.8,$4.00
Canada,Jun-1988,7.6,$4.00
Canada,Jul-1988,7.8,$4.00
Canada,Aug-1988,7.8,$4.00
Canada,Sep-1988,7.8,$4.00
Canada,Oct-1988,7.8,$4.00
Canada,Nov-1988,7.8,$4.00
Canada,Dec-1988,7.5,$4.00
Canada,Jan-1989,7.5,$4.00
Canada,Feb-1989,7.6,$4.00
Canada,Mar-1989,7.5,$4.00
Canada,Apr-1989,7.8,$4.00
Canada,May-1989,7.7,$4.00
Canada,Jun-1989,7.5,$4.00
Canada,Jul-1989,7.5,$4.00
Canada,Aug-1989,7.3,$4.00
Canada,Sep-1989,7.3,$4.00
Canada,Oct-1989,7.2,$4.00
Canada,Nov-1989,7.5,$4.00
Canada,Dec-1989,7.7,$4.00
Canada,Jan-1990,7.9,$4.00
Canada,Feb-1990,7.7,$4.00
Canada,Mar-1990,7.3,$4.00
Canada,Apr-1990,7.6,$4.00
Canada,May-1990,7.8,$4.00
Canada,Jun-1990,7.6,$4.00
Canada,Jul-1990,7.9,$4.00
Canada,Aug-1990,8.1,$4.00
Canada,Sep-1990,8.5,$4.00
Canada,Oct-1990,8.8,$4.00
Canada,Nov-1990,9.1,$4.00
Canada,Dec-1990,9.5,$4.00
Canada,Jan-1991,9.8,$4.00
