"REF_DATE","GEO","DGUID","Income percentiles","Age group","Tax and transfer type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","947470","","","","0"
"1993","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","977850","","","","0"
"1994","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","991045","","","","0"
"1995","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1008425","","","","0"
"1996","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1019600","","","","0"
"1997","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1033530","","","","0"
"1998","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1047145","","","","0"
"1999","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1066535","","","","0"
"2000","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1083425","","","","0"
"2001","Canada","2016A000011124","Bottom 5 percent income group","Total, 18 years and above","Federal and provincial income tax and federal payroll tax","Total number of filers","Persons","249","units","0","v121155898","1.2.1.1.1","1110100","","","","0"
